Clf,Score
"Clf Std ""plas""",-76.53549999999997
"Clf MultNeg ""plas""",-13.5355
"Clf Invertion ""plas""",1.4645000000000032
"Clf Ordernation_Up ""plas""",9.464500000000015
"Clf Binning ""plas""",17.464499999999997
"Clf Zeros ""plas""",35.46450000000005
"Clf MultNeg ""preg""",37.46450000000002
"Clf MultNeg ""age""",37.46450000000004
"Clf Std ""age""",38.46450000000005
"Clf MultNeg ""pedi""",39.464500000000044
"Clf Std ""pedi""",41.46450000000002
"Clf MultNeg ""mass""",46.46450000000004
"Clf Invertion ""age""",47.464500000000044
"Clf Binning ""age""",47.46450000000005
"Clf Ordernation_Up ""pedi""",48.46450000000002
"Clf Ordernation_Up ""age""",48.46450000000003
"Clf Zeros ""age""",48.46450000000004
"Clf Ordernation_Up ""preg""",50.46450000000003
"Clf Invertion ""preg""",50.46450000000003
"Clf MultNeg ""pres""",52.46450000000004
"Clf Invertion ""mass""",53.46450000000004
"Clf Ordernation_Up ""mass""",55.46450000000004
"Clf Invertion ""pedi""",56.46450000000002
"Clf Zeros ""pres""",56.46450000000004
"Clf Binning ""mass""",57.46450000000002
"Clf Zeros ""mass""",57.46450000000002
"Clf Std ""mass""",57.46450000000002
"Clf Zeros ""preg""",58.46450000000002
"Clf Ordernation_Up ""pres""",58.46450000000004
"Clf Zeros ""pedi""",59.46450000000002
"Clf Invertion ""pres""",60.46450000000004
"Clf Std ""preg""",61.464500000000015
"Clf Binning ""pedi""",64.46450000000002
"Clf Std ""pres""",64.46450000000002
"Clf Binning ""preg""",66.46450000000003
"Clf Zscore ""age""",68.46450000000002
"Clf Binning ""pres""",68.46450000000003
"Clf Zscore ""plas""",69.46450000000002
Clf original data,70.46450000000002
"Clf MultNeg ""skin""",70.46450000000002
"Clf MultNeg ""insu""",70.46450000000002
"Clf Binning ""skin""",70.46450000000002
"Clf Binning ""insu""",70.46450000000002
"Clf Zeros ""skin""",70.46450000000002
"Clf Zeros ""insu""",70.46450000000002
"Clf Ordernation_Up ""skin""",70.46450000000002
"Clf Ordernation_Up ""insu""",70.46450000000002
"Clf Invertion ""skin""",70.46450000000002
"Clf Invertion ""insu""",70.46450000000002
"Clf Std ""skin""",70.46450000000002
"Clf Std ""insu""",70.46450000000002
"Clf Zscore ""preg""",70.46450000000002
"Clf Zscore ""pres""",70.46450000000002
"Clf Zscore ""skin""",70.46450000000002
"Clf Zscore ""insu""",70.46450000000002
"Clf Zscore ""mass""",70.46450000000002
"Clf Zscore ""pedi""",70.46450000000002
